critic/q_loss,critic/q1,z_critic/qz_loss,actor/bc_actor_loss,noise_actor/noise_actor_loss,alpha/alpha_loss,alpha/alpha,step
107.88157653808594,0.3703182339668274,0.7161301374435425,1.5418708324432373,4.027562141418457,7.0218505859375,0.9997000694274902,0
2.036079168319702,46.26472854614258,0.1976376175880432,0.5717272758483887,-47.891807556152344,0.01374092698097229,0.035019222646951675,20000
1.4847395420074463,-35.744102478027344,0.5625619888305664,0.518123209476471,35.42774200439453,-0.1148252934217453,0.019011355936527252,40000
0.9481053352355957,-43.34486389160156,0.42493361234664917,0.4918895959854126,43.18872833251953,-0.004805191420018673,0.02628154493868351,60000
0.6288366317749023,-48.21211242675781,0.23291075229644775,0.44870704412460327,48.281944274902344,0.03219417482614517,0.0255671925842762,80000
0.646237850189209,-49.17650604248047,0.3867703080177307,0.449599027633667,49.243995666503906,-0.047451265156269073,0.02430964820086956,100000
0.7129744291305542,-49.92361068725586,0.2341214269399643,0.4610831141471863,50.07506561279297,0.007085311226546764,0.022556789219379425,120000
0.5819988250732422,-50.91798400878906,0.31896477937698364,0.4647425711154938,50.805755615234375,0.0431549996137619,0.02238943986594677,140000
0.5034559965133667,-52.220115661621094,0.33062535524368286,0.46872246265411377,52.22676086425781,0.054012976586818695,0.02235501818358898,160000
0.6693058013916016,-53.35989761352539,0.28460925817489624,0.45401033759117126,53.47721862792969,0.017561232671141624,0.021435707807540894,180000
0.6345244646072388,-55.01814651489258,0.2514532804489136,0.45513713359832764,54.80186462402344,0.00513880793005228,0.021201850846409798,200000
0.477650910615921,-56.05867004394531,0.39363062381744385,0.44177982211112976,55.845123291015625,0.019111841917037964,0.021154172718524933,220000
0.5724852085113525,-56.345611572265625,0.4232749938964844,0.36421677470207214,56.45896530151367,-0.0008152327500283718,0.020963281393051147,240000
0.5008748173713684,-57.39189147949219,0.3922152519226074,0.4590112566947937,57.450477600097656,-0.021329151466488838,0.019989395514130592,260000
0.5820147395133972,-57.911041259765625,0.3813685178756714,0.45213738083839417,57.9945068359375,-0.012002465315163136,0.01873895153403282,280000
0.5398180484771729,-59.68938446044922,0.46905359625816345,0.47091150283813477,59.77832794189453,0.024245768785476685,0.018408019095659256,300000
0.9631286859512329,-58.797645568847656,0.25025802850723267,0.44233593344688416,58.75023651123047,-0.0005785971879959106,0.019909808412194252,320000
0.7391618490219116,-60.58586883544922,0.34426045417785645,0.4086481034755707,60.580745697021484,-0.013887972570955753,0.01889374479651451,340000
0.5071731805801392,-59.75946044921875,0.3659505844116211,0.36684679985046387,59.79239273071289,-0.04188123345375061,0.018775662407279015,360000
0.5910496711730957,-60.9658203125,0.4719826579093933,0.3983619213104248,60.857994079589844,0.028348805382847786,0.01936984807252884,380000
0.8034572601318359,-60.20423126220703,0.5400956869125366,0.38197287917137146,60.16950607299805,-0.038907796144485474,0.0197156835347414,400000
0.5883992910385132,-62.65822219848633,1.5704829692840576,0.46655431389808655,62.79103469848633,-0.016972282901406288,0.019962869584560394,420000
0.5512343645095825,-61.723873138427734,0.5038461685180664,0.3713442087173462,61.58968734741211,-0.0499858558177948,0.01793048158288002,440000
0.5855922698974609,-60.34127426147461,0.37334513664245605,0.3541261553764343,60.38323974609375,0.03944592922925949,0.01875266246497631,460000
0.6141537427902222,-61.99598693847656,0.3781943619251251,0.39224350452423096,62.05510711669922,0.017998334020376205,0.01796649768948555,480000
0.7871642708778381,-60.98143005371094,0.7049251198768616,0.41704875230789185,60.98688888549805,0.009541435167193413,0.017696361988782883,500000
,,,,,,,500999
,,,,,,,501999
,,,,,,,502999
,,,,,,,503999
,,,,,,,504999
,,,,,,,505999
,,,,,,,506999
,,,,,,,507999
,,,,,,,508999
,,,,,,,509999
,,,,,,,510999
,,,,,,,511999
,,,,,,,512999
,,,,,,,513999
,,,,,,,514999
,,,,,,,515999
,,,,,,,516999
,,,,,,,517999
,,,,,,,518999
,,,,,,,519999
,,,,,,,520999
,,,,,,,521999
,,,,,,,522999
,,,,,,,523999
,,,,,,,524999
,,,,,,,525999
,,,,,,,526999
,,,,,,,527999
,,,,,,,528999
,,,,,,,529999
,,,,,,,530999
,,,,,,,531999
,,,,,,,532999
,,,,,,,533999
,,,,,,,534999
,,,,,,,535999
,,,,,,,536999
,,,,,,,537999
,,,,,,,538999
,,,,,,,539999
,,,,,,,540999
,,,,,,,541999
,,,,,,,542999
,,,,,,,543999
,,,,,,,544999
,,,,,,,545999
,,,,,,,546999
,,,,,,,547999
,,,,,,,548999
,,,,,,,549999
,,,,,,,550999
,,,,,,,551999
,,,,,,,552999
,,,,,,,553999
,,,,,,,554999
,,,,,,,555999
,,,,,,,556999
,,,,,,,557999
,,,,,,,558999
,,,,,,,559999
,,,,,,,560999
,,,,,,,561999
,,,,,,,562999
,,,,,,,563999
,,,,,,,564999
,,,,,,,565999
,,,,,,,566999
,,,,,,,567999
,,,,,,,568999
,,,,,,,569999
,,,,,,,570999
,,,,,,,571999
,,,,,,,572999
,,,,,,,573999
,,,,,,,574999
,,,,,,,575999
,,,,,,,576999
,,,,,,,577999
,,,,,,,578999
,,,,,,,579999
,,,,,,,580999
,,,,,,,581999
,,,,,,,582999
,,,,,,,583999
,,,,,,,584999
,,,,,,,585999
,,,,,,,586999
,,,,,,,587999
,,,,,,,588999
,,,,,,,589999
,,,,,,,590999
,,,,,,,591999
,,,,,,,592999
,,,,,,,593999
,,,,,,,594999
,,,,,,,595999
,,,,,,,596999
,,,,,,,597999
,,,,,,,598999
,,,,,,,599999
