critic/q_loss,critic/q1,z_critic/qz_loss,actor/bc_actor_loss,noise_actor/noise_actor_loss,alpha/alpha_loss,alpha/alpha,step
107.89370727539062,0.3703182339668274,0.7124588489532471,1.9814815521240234,4.01492977142334,7.0218505859375,0.9997000694274902,0
0.8483838438987732,47.59376525878906,0.24760688841342926,0.6917480230331421,-49.07050323486328,0.03995823115110397,0.03679153695702553,20000
3.9457359313964844,-36.59959411621094,1.119310736656189,0.6331909894943237,36.017330169677734,-0.01210131123661995,0.017762497067451477,40000
1.1514699459075928,-45.62334442138672,0.4280143976211548,0.613311767578125,45.470298767089844,0.04423685371875763,0.026051534339785576,60000
0.8456047177314758,-50.377685546875,0.2716503441333771,0.5701916217803955,50.52053451538086,0.027227934449911118,0.024610303342342377,80000
0.6108375191688538,-52.311988830566406,0.5683763027191162,0.5384432077407837,52.11787414550781,-0.07833036780357361,0.022096732631325722,100000
0.7265691161155701,-54.883277893066406,0.5221502780914307,0.5408746600151062,54.96135711669922,-0.026321567595005035,0.021652555093169212,120000
0.6719348430633545,-54.25226974487305,0.30121520161628723,0.5669348239898682,54.13520050048828,0.027663961052894592,0.0212894044816494,140000
0.6711331009864807,-55.255950927734375,0.265581339597702,0.5928807258605957,55.32600402832031,-0.014153797179460526,0.020283430814743042,160000
0.5118220448493958,-57.82770919799805,0.3450324833393097,0.5460770130157471,57.90138244628906,0.007463272660970688,0.01817232556641102,180000
0.838230311870575,-59.190162658691406,0.22415544092655182,0.5531918406486511,59.13661575317383,0.024454627186059952,0.020465537905693054,200000
0.49864810705184937,-59.73309326171875,0.27826133370399475,0.543633222579956,59.64718246459961,0.030117793008685112,0.019586261361837387,220000
0.5244803428649902,-60.70099639892578,0.43006134033203125,0.4581905007362366,60.600833892822266,-0.023660171777009964,0.019154632464051247,240000
0.5959827899932861,-61.676353454589844,0.3359644114971161,0.5546963214874268,61.8314323425293,0.038359135389328,0.018478844314813614,260000
0.8310049772262573,-63.317466735839844,0.385614812374115,0.552742600440979,63.38398361206055,-0.034136511385440826,0.015759507194161415,280000
0.8984736800193787,-73.82473754882812,0.8510345220565796,0.5740318298339844,73.94581604003906,-0.013682466000318527,0.015297007746994495,300000
7.285505294799805,-83.56355285644531,9.39254379272461,0.5298285484313965,83.32540893554688,-0.08368589729070663,0.009328671731054783,320000
0.1588003933429718,-85.24320220947266,0.27147170901298523,0.49571967124938965,85.54876708984375,0.20692893862724304,0.02701709046959877,340000
0.14629900455474854,-83.5076904296875,0.14213088154792786,0.449386328458786,83.61192321777344,0.06882813572883606,0.014501421712338924,360000
4.912450790405273,-85.9482421875,0.775978147983551,0.4689420461654663,86.11080169677734,0.10471956431865692,0.016199937090277672,380000
0.5718330144882202,-85.19869232177734,0.3783949017524719,0.45023271441459656,85.38772583007812,0.06954427808523178,0.012522527016699314,400000
4.366847038269043,-81.29548645019531,0.324044406414032,0.5779964923858643,80.85594177246094,-0.09881813824176788,0.02747110091149807,420000
0.13907942175865173,-80.89249420166016,0.20996612310409546,0.4537666440010071,81.0435791015625,0.015211936086416245,0.015840157866477966,440000
0.6790983080863953,-78.92509460449219,0.6627311706542969,0.44478705525398254,79.0775146484375,0.17492616176605225,0.025021705776453018,460000
0.6683868169784546,-80.7897720336914,4.498111248016357,0.47601836919784546,81.22041320800781,0.0027507618069648743,0.02159539982676506,480000
8.766902923583984,-81.25812530517578,16.245162963867188,0.4952249526977539,81.26045989990234,-0.22749148309230804,0.026238063350319862,500000
,,,,,,,500999
,,,,,,,501999
,,,,,,,502999
,,,,,,,503999
,,,,,,,504999
,,,,,,,505999
,,,,,,,506999
,,,,,,,507999
,,,,,,,508999
,,,,,,,509999
,,,,,,,510999
,,,,,,,511999
,,,,,,,512999
,,,,,,,513999
,,,,,,,514999
,,,,,,,515999
,,,,,,,516999
,,,,,,,517999
,,,,,,,518999
,,,,,,,519999
,,,,,,,520999
,,,,,,,521999
,,,,,,,522999
,,,,,,,523999
,,,,,,,524999
,,,,,,,525999
,,,,,,,526999
,,,,,,,527999
,,,,,,,528999
,,,,,,,529999
,,,,,,,530999
,,,,,,,531999
,,,,,,,532999
,,,,,,,533999
,,,,,,,534999
,,,,,,,535999
,,,,,,,536999
,,,,,,,537999
,,,,,,,538999
,,,,,,,539999
,,,,,,,540999
,,,,,,,541999
,,,,,,,542999
,,,,,,,543999
,,,,,,,544999
,,,,,,,545999
,,,,,,,546999
,,,,,,,547999
,,,,,,,548999
,,,,,,,549999
,,,,,,,550999
,,,,,,,551999
,,,,,,,552999
,,,,,,,553999
,,,,,,,554999
,,,,,,,555999
,,,,,,,556999
,,,,,,,557999
,,,,,,,558999
,,,,,,,559999
,,,,,,,560999
,,,,,,,561999
,,,,,,,562999
,,,,,,,563999
,,,,,,,564999
,,,,,,,565999
,,,,,,,566999
,,,,,,,567999
,,,,,,,568999
,,,,,,,569999
,,,,,,,570999
,,,,,,,571999
,,,,,,,572999
,,,,,,,573999
,,,,,,,574999
,,,,,,,575999
,,,,,,,576999
,,,,,,,577999
,,,,,,,578999
,,,,,,,579999
,,,,,,,580999
,,,,,,,581999
,,,,,,,582999
,,,,,,,583999
,,,,,,,584999
,,,,,,,585999
,,,,,,,586999
,,,,,,,587999
,,,,,,,588999
,,,,,,,589999
,,,,,,,590999
,,,,,,,591999
,,,,,,,592999
,,,,,,,593999
,,,,,,,594999
,,,,,,,595999
,,,,,,,596999
,,,,,,,597999
,,,,,,,598999
,,,,,,,599999
